Price,SuperBuild,BHK,Total_Sq_Ft,Floor
₹ 35 Lac,₹ 4516,"
2 BHK Apartment
",775 sqft,3 out of 3 floors
₹ 38.3 Lac,0,"
3 BHK Apartment
",900 sqft,7 out of 14 floors
₹ 56 Lac,0,"
2 BHK Apartment
",1075 sqft,6 out of 19 floors
₹ 53 Lac,0,"
3 BHK Builder Floor
",939 sqft,2 out of 6 floors
₹ 65 Lac,0,"
5 BHK Builder Floor
",1900 sqft,3 out of 3 floors
₹ 46 Lac,0,"
4 BHK Apartment
",1200 sqft,4 out of 5 floors
₹ 44 Lac,0,"
2 BHK Apartment
",700 sqft,3 out of 18 floors
₹ 24 Lac,0,"
2 BHK Apartment
",606 sqft,4 out of 4 floors
₹ 36 Lac,0,"
2 BHK Apartment
",680 sqft,3 out of 6 floors
₹ 60 Lac,0,"
3 BHK Apartment
",950 sqft,3 out of 3 floors
₹ 28 Lac,0,"
1 BHK Apartment
",425 sqft,1 out of 3 floors
₹ 76 Lac,₹ 5568,"
3 BHK Apartment
",1365 sqft,2 out of 13 floors
₹ 30 Lac,₹ 3704,"
2 BHK Apartment
",810 sqft,Ground out of 3 floors
₹ 35 Lac,₹ 3318,"
3 BHK Apartment
",1055 sqft,2 out of 4 floors
₹ 28 Lac,0,"
2 BHK Apartment
",712 sqft,1 out of 14 floors
₹ 63.5 Lac,₹ 5826,"
2 BHK Apartment
",1090 sqft,Resale
₹ 45.9 Lac,₹ 4047,"
3 BHK Apartment
",1134 sqft,3 out of 5 floors
₹ 20.5 Lac,0,"
2 BHK Apartment
",750 sqft,3 out of 3 floors
₹ 43 Lac,0,"
3 BHK Apartment
",1096 sqft,2 out of 4 floors
₹ 30 Lac,0,"
2 BHK Apartment
",670 sqft,3 out of 3 floors
₹ 44.5 Lac,0,"
3 BHK Apartment
",680 sqft,3 out of 14 floors
₹ 55 Lac,0,"
2 BHK Apartment
",1100 sqft,4 out of 11 floors
₹ 35 Lac,0,"
2 BHK Apartment
",568 sqft,Ground out of 3 floors
₹ 30 Lac,₹ 3315,"
2 BHK Apartment
",905 sqft,3 out of 4 floors
₹ 58 Lac,0,"
3 BHK Apartment
",886 sqft,1 out of 4 floors
₹ 36.5 Lac,0,"
2 BHK Builder Floor
",723 sqft,2 out of 3 floors
₹ 38 Lac,0,"
2 BHK Apartment
",720 sqft,2 out of 3 floors
₹ 70 Lac,0,"
2 BHK Apartment
",810 sqft,2 out of 10 floors
₹ 29.8 Lac,0,"
2 BHK Apartment
",850 sqft,4 out of 4 floors
₹ 45 Lac,0,"
2 BHK Apartment
",660 sqft,2 out of 7 floors
₹ 55 Lac,0,"
3 BHK Apartment
",880 sqft,1 out of 4 floors
₹ 70 Lac,0,"
3 BHK Apartment
",771 sqft,Ground out of 4 floors
₹ 85 Lac,0,"
5 BHK Apartment
",1800 sqft,4 out of 4 floors
₹ 65 Lac,0,"
3 BHK Apartment
",1260 sqft,4 out of 4 floors
₹ 37 Lac,0,"
2 BHK Builder Floor
",580 sqft,2 out of 3 floors
₹ 35 Lac,₹ 2832,"
3 BHK Apartment
",1236 sqft,7 out of 15 floors
₹ 35 Lac,0,"
2 BHK Apartment
",789 sqft,2 out of 4 floors
₹ 48 Lac,0,"
2 BHK Builder Floor
",854 sqft,3 out of 4 floors
₹ 70 Lac,0,"
3 BHK Apartment
",976 sqft,3 out of 3 floors
₹ 57 Lac,0,"
2 BHK Apartment
",1088 sqft,3 out of 4 floors
₹ 61 Lac,0,"
2 BHK Apartment
",900 sqft,2 out of 4 floors
